id,name,brand
canned_tomatoes_diced,Canned diced tomatoes,
canned_tomatoes_crushed,Crushed tomatoes canned,
canned_tomatoes_whole,Whole peeled tomatoes canned,
canned_tomato_sauce,Tomato sauce canned,
canned_tomato_paste,Tomato paste canned,
canned_black_beans,Black beans canned,
canned_kidney_beans,Kidney beans canned,
canned_pinto_beans,Pinto beans canned,
canned_chickpeas,Garbanzo beans canned,
canned_corn,Canned corn,
canned_green_beans,Canned green beans,
canned_peas,Canned peas,
canned_carrots,Canned carrots,
canned_pumpkin,Canned pumpkin puree,
canned_coconut_milk,Coconut milk canned,
canned_coconut_milk_light,Light coconut milk canned,
canned_tuna_water,Tuna canned in water,
canned_tuna_oil,Tuna canned in oil,
canned_salmon,Salmon canned,
canned_chicken,Chicken canned,
canned_anchovies,Anchovies canned,
canned_sardines,Sardines canned,
canned_broth_chicken,Chicken broth canned,
canned_broth_beef,Beef broth canned,
canned_broth_veg,Vegetable broth canned,
canned_bone_broth,Bone broth,
canned_stock_cubes,Broth bouillon cubes,
