id,name,brand
condiment_soy_sauce,Soy sauce,
condiment_tamari,Tamari (gluten-free soy sauce),
condiment_fish_sauce,Fish sauce,
condiment_oyster_sauce,Oyster sauce,
condiment_hoisin,Hoisin sauce,
condiment_gochujang,Gochujang paste,
condiment_miso_white,White miso paste,
condiment_tahini,Tahini,
condiment_bbq_sauce,Barbecue sauce,
condiment_worcestershire,Worcestershire sauce,
condiment_ketchup,Ketchup,
condiment_mustard_yellow,Yellow mustard,
condiment_dijon_mustard,Dijon mustard,
condiment_mayonnaise,Mayonnaise,
condiment_aioli,Garlic aioli,
condiment_hot_sauce,Hot sauce,
condiment_sriracha,Sriracha,
condiment_chili_crisp,Chili crisp oil,
condiment_salsa,Salsa,
condiment_pesto,Pesto,
condiment_marinara,Marinara sauce,
condiment_peanut_sauce,Peanut satay sauce,
condiment_ponzu,Ponzu sauce,
condiment_harissa,Harissa paste,
condiment_tikka_masala,Tikka masala sauce,
condiment_teriyaki,Teriyaki sauce,
condiment_vinaigrette_balsamic,Balsamic vinaigrette,
condiment_vinegar_balsamic,Balsamic vinegar,
condiment_vinegar_rice,Rice vinegar,
condiment_vinegar_cider,Apple cider vinegar,
condiment_vinegar_white,Distilled white vinegar,
condiment_fermented_black_bean,Fermented black bean paste,
condiment_broth_chicken,Chicken broth,
condiment_broth_beef,Beef broth,
