id,name,brand
dairy_ff_mozzarella,Fat-free mozzarella cheese,
dairy_part_skim_mozzarella,Part-skim mozzarella cheese,
dairy_rf_mozzarella_shredded,Reduced-fat shredded mozzarella,
dairy_ff_cheddar,Fat-free cheddar cheese,
dairy_rf_cheddar,Reduced-fat cheddar cheese,
dairy_ff_feta,Fat-free feta cheese,
dairy_rf_feta,Reduced-fat feta cheese,
dairy_ff_ricotta,Fat-free ricotta cheese,
dairy_part_skim_ricotta,Part-skim ricotta cheese,
dairy_ff_cottage,Fat-free cottage cheese,
dairy_one_percent_cottage,1% cottage cheese,
dairy_two_percent_cottage,2% cottage cheese,
dairy_ff_cream_cheese,Fat-free cream cheese,
dairy_light_cream_cheese,Light cream cheese (Neufchâtel),
dairy_ff_sour_cream,Fat-free sour cream,
dairy_light_sour_cream,Light sour cream,
dairy_ff_greek_yogurt,Fat-free Greek yogurt,
dairy_zero_percent_greek,0% Greek yogurt,
dairy_two_percent_greek,2% Greek yogurt,
dairy_ff_yogurt_plain,Fat-free plain yogurt,
dairy_light_string_cheese,Light string cheese,
dairy_ff_parmesan,Fat-free grated parmesan,
dairy_rf_swiss,Reduced-fat Swiss cheese,
dairy_ff_american,Fat-free American cheese,
dairy_skim_milk,Skim milk,
dairy_one_percent_milk,1% milk,
dairy_two_percent_milk,2% milk,
dairy_ff_half_half,Fat-free half & half,
dairy_light_cream,Light cream,
dairy_ff_evap_milk,Fat-free evaporated milk,
dairy_ff_condensed_milk,Fat-free sweetened condensed milk,
