id,name,brand
fruit_apples_red,Fresh red apples,
fruit_apples_green,Fresh green apples,
fruit_apples_honeycrisp,Honeycrisp apples,
fruit_bananas,Fresh bananas,
fruit_oranges_navel,Navel oranges,
fruit_oranges_mandarin,Mandarin oranges,
fruit_oranges_blood,Blood oranges,
fruit_grapefruit,Grapefruit halves,
fruit_limes,Fresh limes,
fruit_lemons,Fresh lemons,
fruit_grapes_red,Red seedless grapes,
fruit_grapes_green,Green seedless grapes,
fruit_strawberries,Fresh strawberries,
fruit_strawberries_frozen,Frozen sliced strawberries,
fruit_blueberries,Fresh blueberries,
fruit_blueberries_frozen,Frozen blueberries unsweetened,
fruit_blackberries,Fresh blackberries,
fruit_raspberries,Fresh raspberries,
fruit_pineapple_chunks,Fresh pineapple chunks,
fruit_pineapple_frozen,Frozen pineapple chunks,
fruit_mango_slices,Fresh mango slices,
fruit_mango_frozen,Frozen mango chunks,
fruit_peaches,Fresh peaches,
fruit_peaches_frozen,Frozen sliced peaches,
fruit_pears_bartlett,Bartlett pears,
fruit_pears_anjou,Anjou pears,
fruit_cherries_dark,Dark sweet cherries,
fruit_cherries_rainier,Rainier cherries,
fruit_cherries_frozen,Frozen pitted cherries,
fruit_kiwi,Fresh kiwi fruit,
fruit_papaya,Fresh papaya cubes,
fruit_watermelon,Seedless watermelon chunks,
fruit_cantaloupe,Cantaloupe cubes,
fruit_honeydew,Honeydew melon cubes,
fruit_mixed_berries_frozen,Frozen mixed berries,
fruit_acai_puree,Unsweetened acai puree packs,
fruit_dragonfruit,Dragon fruit cubes,
fruit_passionfruit,Pulped passion fruit,
fruit_plums,Fresh plums,
fruit_apricots,Fresh apricots,
fruit_figs_dried,Dried figs,
fruit_dates_medjool,Medjool dates,
fruit_cranberries_dried,Dried cranberries (unsweetened),
