id,name,brand
nutbutter_almond,Almond butter,
nutbutter_cashew,Cashew butter,
nutbutter_sunflower,Sunflower seed butter,
nutbutter_peanut_natural,Natural peanut butter,
nutbutter_peanut_regular,Peanut butter,
nutbutter_peanut_reduced,Reduced-fat peanut butter,
nutbutter_tahini,Tahini,
nutbutter_powdered_pb2,PB2 powdered peanut butter,
nutbutter_powdered_pbfit,PBFit powdered peanut butter,
nutbutter_hazelnut,Hazelnut butter,
nutbutter_pistachio,Pistachio butter,
nutbutter_mixed_seed,Mixed seed butter,
