id,name,brand
produce_basil_fresh,Fresh basil leaves,
produce_cilantro_fresh,Fresh cilantro,
produce_parsley_flat,Flat-leaf parsley,
produce_dill_fresh,Fresh dill,
produce_mint_fresh,Fresh mint,
produce_rosemary_fresh,Fresh rosemary,
produce_thyme_fresh,Fresh thyme,
produce_oregano_fresh,Fresh oregano,
produce_scallions,Scallions / green onions,
produce_shallots,Shallots,
produce_leeks,Leeks,
produce_chives,Chives,
produce_garlic_fresh,Fresh garlic bulbs,
produce_ginger_root,Fresh ginger root,
produce_lemongrass,Lemongrass stalks,
produce_serrano_pepper,Serrano pepper,
produce_jalapeno_pepper,Jalapeño pepper,
produce_red_onion,Red onion,
