id,name,brand
seafood_shrimp_cooked,Frozen cooked shrimp,
seafood_shrimp_raw_large,Frozen raw shrimp (large),
seafood_salmon_frozen,Frozen salmon fillets,
seafood_cod_frozen,Frozen cod fillets,
seafood_tilapia_frozen,Frozen tilapia fillets,
seafood_mahi_frozen,Frozen mahi mahi portions,
seafood_scallops_frozen,Frozen sea scallops,
seafood_mussels_frozen,Frozen mussels,
seafood_crab_meat,Refrigerated lump crab meat,
seafood_sardines_canned,Canned sardines in olive oil,
seafood_salmon_canned,Canned wild salmon,
seafood_tuna_pouches,Tuna packets (water),
seafood_smoked_salmon,Smoked salmon,
seafood_imitation_crab,Imitation crab sticks,
