id,name,brand
spice_cumin_ground,Ground cumin,
spice_coriander_ground,Ground coriander,
spice_cinnamon_ground,Ground cinnamon,
spice_turmeric_ground,Ground turmeric,
spice_smoked_paprika,Smoked paprika,
spice_chili_powder,Chili powder,
spice_curry_powder,Curry powder,
spice_garam_masala,Garam masala,
spice_italian_seasoning,Italian seasoning blend,
spice_everything_bagel,Everything bagel seasoning,
spice_herbes_de_provence,Herbes de Provence,
spice_five_spice,Chinese five spice powder,
spice_zaatar,Zaatar seasoning,
spice_black_pepper,Ground black pepper,
spice_white_pepper,Ground white pepper,
spice_garlic_powder,Garlic powder,
spice_onion_powder,Onion powder,
spice_salt_kosher,Kosher salt,
spice_sea_salt,Sea salt flakes,
spice_red_pepper_flakes,Crushed red pepper flakes,
