id,name,brand
supp_whey_isolate,Whey protein isolate powder,
supp_whey_concentrate,Whey protein concentrate powder,
supp_casein,Casein protein powder,
supp_collagen,Collagen peptides powder,
supp_plant_pea,Pea protein powder,
supp_plant_mix,Plant-based protein powder blend,
supp_hemp_protein,Hemp protein powder,
supp_rice_protein,Rice protein powder,
supp_keto_protein,Keto protein powder,
supp_lowcarb_protein,Low-carb protein powder,
supp_protein_bar_quest,Quest protein bar,
supp_protein_bar_one,ONE protein bar,
supp_protein_bar_built,Built protein bar,
supp_protein_bar_pure,Pure Protein bar,
supp_keto_protein_bar,Keto protein bar,
supp_meal_replacement_shake,Meal replacement shake,
supp_ready_drink_protein,Ready-to-drink protein shake,
supp_protein_pancake_mix,Protein pancake mix,
supp_protein_pasta,Protein pasta,
