6713172,"Large Eggs",OpenAI request failed (400)
554409,"professional strength whey protein",OpenAI request failed (400)
6713172,"Large Eggs",OpenAI request failed (400)
554409,"professional strength whey protein",OpenAI request failed (400)
4803799,"Plain Bagel",AI missing convertible volume
4803799,"Plain Bagel",density outside allowed range
26078335,"Broccoli Florets",density outside allowed range
26078335,"Broccoli Florets",density outside allowed range
31655370,"85% Lean Ground Turkey",AI missing convertible volume
100776907,"Pea Protein Powder",low confidence
